TIPO,FECHA,HORA,LATITUD,LONGITUD,DESCRIPCION
1,2026-06-02,07:29,1.621587,-75.583965,Incidente de prueba (Florencia) A
2,2026-05-30,01:32,1.627386,-75.611789,Alteración del orden público
4,2026-08-06,17:53,1.619663,-75.625435,Incidente vial leve
4,2026-07-14,02:14,1.611253,-75.585087,Reporte generado automáticamente en Florencia
2,2026-07-15,17:29,1.616789,-75.591036,Observación de actividad sospechosa
2,2026-06-09,02:04,1.621373,-75.584494,Reporte generado automáticamente en Florencia
1,2026-07-18,04:30,1.617131,-75.623048,Alteración del orden público
3,2026-07-14,08:57,1.605279,-75.603972,Reporte generado automáticamente en Florencia
2,2026-05-24,16:32,1.629745,-75.586704,Incidente de prueba (Florencia) A
3,2026-08-13,15:28,1.605813,-75.597136,Incidente vial leve
4,2026-07-07,20:38,1.594684,-75.610458,Incidente de prueba (Florencia) A
2,2026-08-12,10:40,1.613688,-75.620786,Incidente de prueba (Florencia) A
1,2026-07-03,00:59,1.608577,-75.601405,Reporte generado automáticamente en Florencia
2,2026-06-11,02:45,1.605744,-75.628778,Observación de actividad sospechosa
1,2026-07-06,04:38,1.609163,-75.608387,Alteración del orden público
2,2026-06-24,22:33,1.602304,-75.608502,Reporte generado automáticamente en Florencia
4,2026-07-06,19:48,1.600912,-75.622588,Reporte generado automáticamente en Florencia
1,2026-07-03,19:47,1.594202,-75.583620,Alteración del orden público
3,2026-06-01,01:38,1.621083,-75.584958,Observación de actividad sospechosa
1,2026-06-08,11:53,1.595532,-75.600650,Incidente de prueba (Florencia) A
1,2026-05-24,19:27,1.597488,-75.608251,Alteración del orden público
4,2026-07-02,18:13,1.625087,-75.623892,Observación de actividad sospechosa
3,2026-08-11,02:15,1.596290,-75.599785,Incidente de prueba (Florencia) A
1,2026-06-16,01:49,1.595337,-75.621960,Observación de actividad sospechosa
3,2026-05-27,22:49,1.626692,-75.614959,Alteración del orden público
1,2026-06-09,14:31,1.602735,-75.601961,Incidente de prueba (Florencia) A
1,2026-07-17,16:04,1.593194,-75.606494,Observación de actividad sospechosa
2,2026-06-26,10:32,1.600976,-75.608274,Reporte generado automáticamente en Florencia
1,2026-07-16,22:26,1.618072,-75.626164,Observación de actividad sospechosa
3,2026-05-22,03:29,1.615427,-75.585849,Reporte generado automáticamente en Florencia
3,2026-07-27,12:17,1.590798,-75.603324,Reporte generado automáticamente en Florencia
2,2026-06-27,08:25,1.597324,-75.623702,Reporte generado automáticamente en Florencia
1,2026-06-26,00:09,1.609061,-75.622601,Observación de actividad sospechosa
1,2026-07-17,06:09,1.612797,-75.629171,Incidente de prueba (Florencia) A
4,2026-07-06,17:03,1.620433,-75.606602,Alteración del orden público
2,2026-06-29,07:16,1.609927,-75.599559,Alteración del orden público
2,2026-06-12,00:02,1.595121,-75.592744,Observación de actividad sospechosa
2,2026-07-10,21:11,1.617453,-75.601598,Incidente de prueba (Florencia) A
3,2026-07-14,17:02,1.617953,-75.582897,Alteración del orden público
1,2026-07-18,18:33,1.619927,-75.580468,Alteración del orden público
4,2026-07-05,12:20,1.624408,-75.583306,Observación de actividad sospechosa
2,2026-05-31,23:36,1.619437,-75.607653,Reporte generado automáticamente en Florencia
4,2026-06-22,14:24,1.598372,-75.588891,Observación de actividad sospechosa
4,2026-07-27,04:11,1.611775,-75.580775,Incidente de prueba (Florencia) A
4,2026-08-15,09:33,1.597054,-75.606443,Observación de actividad sospechosa
1,2026-06-07,03:47,1.596707,-75.614131,Observación de actividad sospechosa
2,2026-06-30,14:59,1.596053,-75.624233,Observación de actividad sospechosa
4,2026-08-16,21:59,1.602591,-75.605666,Reporte generado automáticamente en Florencia
3,2026-08-10,04:19,1.608883,-75.613018,Alteración del orden público
1,2026-07-06,04:37,1.600643,-75.627371,Alteración del orden público
