TIPO;FECHA;HORA;LATITUD;LONGITUD;DESCRIPCION
3;2024-12-05;01:45;1.61857;-75.60215;Prueba de stress 0 generada automaticamente
2;2024-05-05;04:22;1.61849;-75.59887;Prueba de stress 1 generada automaticamente
2;2024-06-14;10:39;1.60346;-75.59149;Prueba de stress 2 generada automaticamente
3;2024-10-17;20:02;1.59944;-75.58637;Prueba de stress 3 generada automaticamente
3;2024-09-20;09:56;1.60305;-75.59401;Prueba de stress 4 generada automaticamente
4;2024-01-28;13:39;1.59891;-75.59411;Prueba de stress 5 generada automaticamente
3;2024-01-26;19:59;1.61952;-75.61826;Prueba de stress 6 generada automaticamente
1;2024-01-13;13:07;1.59510;-75.61865;Prueba de stress 7 generada automaticamente
3;2024-10-22;16:45;1.60242;-75.60288;Prueba de stress 8 generada automaticamente
3;2024-03-07;21:39;1.63154;-75.61577;Prueba de stress 9 generada automaticamente
2;2024-10-24;12:01;1.62076;-75.61489;Prueba de stress 10 generada automaticamente
4;2024-11-06;12:15;1.61552;-75.59458;Prueba de stress 11 generada automaticamente
1;2024-04-24;02:40;1.60827;-75.60743;Prueba de stress 12 generada automaticamente
1;2024-10-14;23:10;1.62066;-75.59346;Prueba de stress 13 generada automaticamente
3;2024-07-13;22:15;1.62570;-75.61802;Prueba de stress 14 generada automaticamente
1;2024-11-12;12:28;1.59703;-75.58697;Prueba de stress 15 generada automaticamente
1;2024-10-24;03:56;1.60028;-75.59634;Prueba de stress 16 generada automaticamente
2;2024-06-06;04:49;1.62094;-75.59466;Prueba de stress 17 generada automaticamente
2;2024-11-08;17:49;1.60558;-75.58678;Prueba de stress 18 generada automaticamente
3;2024-06-07;16:49;1.60246;-75.62226;Prueba de stress 19 generada automaticamente
1;2024-11-16;21:11;1.62306;-75.58921;Prueba de stress 20 generada automaticamente
4;2024-09-27;14:32;1.62155;-75.61106;Prueba de stress 21 generada automaticamente
3;2024-04-05;01:55;1.62023;-75.58973;Prueba de stress 22 generada automaticamente
4;2024-11-10;23:22;1.62981;-75.59692;Prueba de stress 23 generada automaticamente
2;2024-04-19;10:13;1.63007;-75.61916;Prueba de stress 24 generada automaticamente
4;2024-10-20;00:38;1.60939;-75.58804;Prueba de stress 25 generada automaticamente
1;2024-02-13;14:57;1.63314;-75.59952;Prueba de stress 26 generada automaticamente
4;2024-08-12;00:40;1.62383;-75.58734;Prueba de stress 27 generada automaticamente
3;2024-11-22;00:01;1.61347;-75.60762;Prueba de stress 28 generada automaticamente
1;2024-03-23;20:25;1.63199;-75.60174;Prueba de stress 29 generada automaticamente
3;2024-07-23;12:49;1.60403;-75.61272;Prueba de stress 30 generada automaticamente
1;2024-08-01;18:01;1.61974;-75.61611;Prueba de stress 31 generada automaticamente
2;2024-09-12;02:33;1.59499;-75.61757;Prueba de stress 32 generada automaticamente
2;2024-06-05;20:28;1.61858;-75.61015;Prueba de stress 33 generada automaticamente
3;2024-10-01;00:59;1.61612;-75.59044;Prueba de stress 34 generada automaticamente
1;2024-11-25;11:13;1.61316;-75.61574;Prueba de stress 35 generada automaticamente
2;2024-11-15;22:56;1.59515;-75.59319;Prueba de stress 36 generada automaticamente
4;2024-04-03;08:08;1.59657;-75.59321;Prueba de stress 37 generada automaticamente
4;2024-11-24;20:25;1.61055;-75.59332;Prueba de stress 38 generada automaticamente
4;2024-06-06;15:00;1.62681;-75.60658;Prueba de stress 39 generada automaticamente
2;2024-06-21;09:37;1.62211;-75.60539;Prueba de stress 40 generada automaticamente
1;2024-04-23;20:48;1.60262;-75.61640;Prueba de stress 41 generada automaticamente
3;2024-03-02;10:17;1.59894;-75.62061;Prueba de stress 42 generada automaticamente
1;2024-05-13;14:58;1.62763;-75.60658;Prueba de stress 43 generada automaticamente
2;2024-07-18;10:42;1.61901;-75.61222;Prueba de stress 44 generada automaticamente
2;2024-05-27;05:05;1.60416;-75.59764;Prueba de stress 45 generada automaticamente
3;2024-11-01;12:16;1.60076;-75.59054;Prueba de stress 46 generada automaticamente
2;2024-10-23;08:55;1.59716;-75.61319;Prueba de stress 47 generada automaticamente
3;2024-07-09;04:55;1.59615;-75.61265;Prueba de stress 48 generada automaticamente
3;2024-02-24;23:10;1.62064;-75.62177;Prueba de stress 49 generada automaticamente
4;2024-12-03;06:24;1.63090;-75.62027;Prueba de stress 50 generada automaticamente
4;2024-02-02;17:11;1.63410;-75.61536;Prueba de stress 51 generada automaticamente
2;2024-11-07;20:52;1.62349;-75.60442;Prueba de stress 52 generada automaticamente
1;2024-12-13;23:03;1.62664;-75.61925;Prueba de stress 53 generada automaticamente
3;2024-01-23;16:56;1.59910;-75.60320;Prueba de stress 54 generada automaticamente
2;2024-01-02;15:37;1.60986;-75.59604;Prueba de stress 55 generada automaticamente
2;2024-02-27;02:13;1.63424;-75.61687;Prueba de stress 56 generada automaticamente
4;2024-12-02;01:37;1.60335;-75.58718;Prueba de stress 57 generada automaticamente
1;2024-08-15;15:39;1.60919;-75.61476;Prueba de stress 58 generada automaticamente
3;2024-10-15;02:25;1.60092;-75.61702;Prueba de stress 59 generada automaticamente
4;2024-06-13;21:28;1.59443;-75.61783;Prueba de stress 60 generada automaticamente
1;2024-08-28;16:42;1.63163;-75.61261;Prueba de stress 61 generada automaticamente
4;2024-11-12;20:04;1.59658;-75.58960;Prueba de stress 62 generada automaticamente
1;2024-11-21;12:27;1.60867;-75.62563;Prueba de stress 63 generada automaticamente
3;2024-09-28;04:57;1.61409;-75.58806;Prueba de stress 64 generada automaticamente
2;2024-04-03;18:31;1.62703;-75.61303;Prueba de stress 65 generada automaticamente
2;2024-06-23;01:37;1.62751;-75.62217;Prueba de stress 66 generada automaticamente
4;2024-01-16;05:17;1.62126;-75.61140;Prueba de stress 67 generada automaticamente
4;2024-11-26;14:58;1.63315;-75.59318;Prueba de stress 68 generada automaticamente
2;2024-11-20;18:06;1.60990;-75.62317;Prueba de stress 69 generada automaticamente
3;2024-03-09;04:18;1.59690;-75.59260;Prueba de stress 70 generada automaticamente
4;2024-02-14;05:07;1.60705;-75.59120;Prueba de stress 71 generada automaticamente
2;2024-11-15;08:27;1.61564;-75.59265;Prueba de stress 72 generada automaticamente
2;2024-07-06;02:06;1.59485;-75.59435;Prueba de stress 73 generada automaticamente
4;2024-05-07;19:23;1.61141;-75.60963;Prueba de stress 74 generada automaticamente
2;2024-08-16;11:09;1.60314;-75.59591;Prueba de stress 75 generada automaticamente
3;2024-03-28;12:54;1.60543;-75.59293;Prueba de stress 76 generada automaticamente
1;2024-01-25;18:01;1.60133;-75.61103;Prueba de stress 77 generada automaticamente
1;2024-03-16;02:47;1.60488;-75.61311;Prueba de stress 78 generada automaticamente
2;2024-11-02;19:17;1.61730;-75.59995;Prueba de stress 79 generada automaticamente
3;2024-02-28;01:11;1.61616;-75.59740;Prueba de stress 80 generada automaticamente
2;2024-02-28;21:48;1.63049;-75.59954;Prueba de stress 81 generada automaticamente
3;2024-04-19;03:37;1.60609;-75.60183;Prueba de stress 82 generada automaticamente
1;2024-11-07;08:15;1.59667;-75.58809;Prueba de stress 83 generada automaticamente
2;2024-04-20;07:20;1.61939;-75.60034;Prueba de stress 84 generada automaticamente
3;2024-08-15;02:53;1.60272;-75.61680;Prueba de stress 85 generada automaticamente
4;2024-12-22;07:59;1.61343;-75.58634;Prueba de stress 86 generada automaticamente
2;2024-10-10;07:27;1.61618;-75.60006;Prueba de stress 87 generada automaticamente
2;2024-09-16;10:14;1.62900;-75.62531;Prueba de stress 88 generada automaticamente
4;2024-04-23;11:37;1.62563;-75.62111;Prueba de stress 89 generada automaticamente
4;2024-04-25;12:34;1.61599;-75.59268;Prueba de stress 90 generada automaticamente
4;2024-07-15;01:59;1.62970;-75.61236;Prueba de stress 91 generada automaticamente
4;2024-03-07;03:27;1.63231;-75.61508;Prueba de stress 92 generada automaticamente
2;2024-01-12;01:35;1.61725;-75.60737;Prueba de stress 93 generada automaticamente
1;2024-04-24;20:10;1.61318;-75.61200;Prueba de stress 94 generada automaticamente
4;2024-04-23;23:27;1.62388;-75.59146;Prueba de stress 95 generada automaticamente
2;2024-09-04;09:48;1.62925;-75.60760;Prueba de stress 96 generada automaticamente
3;2024-12-23;17:40;1.63314;-75.59620;Prueba de stress 97 generada automaticamente
3;2024-09-14;17:40;1.62016;-75.61452;Prueba de stress 98 generada automaticamente
1;2024-05-11;00:42;1.59969;-75.62497;Prueba de stress 99 generada automaticamente
2;2024-12-21;19:43;1.59461;-75.59468;Prueba de stress 100 generada automaticamente
1;2024-11-24;04:41;1.62245;-75.62140;Prueba de stress 101 generada automaticamente
3;2024-04-10;08:28;1.61974;-75.58860;Prueba de stress 102 generada automaticamente
2;2024-12-24;08:22;1.61668;-75.62144;Prueba de stress 103 generada automaticamente
2;2024-01-03;18:11;1.61296;-75.61518;Prueba de stress 104 generada automaticamente
2;2024-07-02;15:09;1.60331;-75.62389;Prueba de stress 105 generada automaticamente
3;2024-06-17;00:15;1.63077;-75.60676;Prueba de stress 106 generada automaticamente
4;2024-05-18;10:10;1.59657;-75.60441;Prueba de stress 107 generada automaticamente
3;2024-01-18;19:53;1.62811;-75.60507;Prueba de stress 108 generada automaticamente
4;2024-03-07;19:53;1.60873;-75.59455;Prueba de stress 109 generada automaticamente
1;2024-05-14;17:34;1.61734;-75.61359;Prueba de stress 110 generada automaticamente
4;2024-09-28;22:18;1.63156;-75.61603;Prueba de stress 111 generada automaticamente
1;2024-09-24;12:51;1.61858;-75.61890;Prueba de stress 112 generada automaticamente
3;2024-08-22;23:53;1.61183;-75.59206;Prueba de stress 113 generada automaticamente
